設定No,進行目安,種別,地域,マップKey,階層,設定ID,表示ラベル,text,座標,表示条件・関連ID,プロパティ,source,設定パス,修正案,編集メモ
35,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,鍛冶屋を訪ねる,鍛冶師が炉の縁に手を置いている。,"(8,4)",,log,map.js,mapActions.4,,
36,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,防具を見る,火山の熱に耐える防具を扱っている。,"(7,17)",,log,map.js,mapActions.3,,
37,第2段階 炎の里・イグナ火山,利用不可メッセージ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,カリンと話す,カリンはまだ、火山ガスが晴れる時を待っている。,,questId=karin_volcano_depths,lockedText,map.js,mapActors.2.states.0.action,,
38,第2段階 炎の里・イグナ火山,進行不足メッセージ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,イグナ火山へ入る,火山道から熱気が吹き下ろしてくる。今はまだ、里の事情を聞かずに踏み込むべきではなさそうだ。,"(14,1)",requiredStoryStep=2,requiredStoryMissingText,map.js,mapActions.5,,
39,第2段階 炎の里・イグナ火山,マップログ,森の風穴,FOREST_WIND_HOLE,1,,風の通り道を聞く,洞の奥へ、低く澄んだ風の音が吸い込まれていく。,"(12,9)",,log,map.js,mapActions.0,,
40,第2段階 炎の里・イグナ火山,移動・操作メッセージ,森の風穴,FOREST_WIND_HOLE,1,,,風穴の渦が巻き戻った。,"(18,14)",,message,map.js,tileEffects.1,,
41,第2段階 炎の里・イグナ火山,移動・操作メッセージ,森の風穴,FOREST_WIND_HOLE,1,,,風穴の渦に運ばれた。,"(5,9)",,message,map.js,tileEffects.0,,
42,第2段階 炎の里・イグナ火山,移動・操作メッセージ,森の風穴,FOREST_WIND_HOLE,1,wind_hole_stalker,,黒風の魔物が迫る！,"(4,4)",,message,map.js,tileEffects.2,,
43,第2段階 炎の里・イグナ火山,移動・操作メッセージ,森の風穴,FOREST_WIND_HOLE,2,,,妖精風が泉の反対岸へ運んだ。,"(4,4)",,message,map.js,tileEffects.0,,
44,第2段階 炎の里・イグナ火山,移動・操作メッセージ,森の風穴,FOREST_WIND_HOLE,2,,,妖精風が泉を巡った。,"(20,4)",,message,map.js,tileEffects.1,,
45,第2段階 炎の里・イグナ火山,調査ログ,森の風穴,FOREST_WIND_HOLE,2,,妖精を守る,妖精の泉で、闇をまとった魔物が小さな光を追い詰めている。,"(12,4)","monsterId=[154, 154]",inspectLog,map.js,bosses.0,,
46,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,1,,森の奥へ進む,木々の切れ目から、さらに深い森へ道が続いている。,"(3,4)",,log,map.js,floorLinks.1,,
47,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,1,,立札を読む,掠れた字で「北」と書かれているようだ…,"(42,15)",,log,map.js,mapActions.0,,
48,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,1,,風の集落カザリアへ戻る,集落へ続く森の出口だ。,"(53,16)",,log,map.js,floorLinks.0,,
49,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,1,,,不思議な力で移動した。,"(42,10)",,message,map.js,tileEffects.2,,
50,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,1,,,不思議な力で移動した。,"(42,20)",,message,map.js,tileEffects.3,,
51,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,1,,,不思議な力で移動した。,"(38,15)",,message,map.js,tileEffects.4,,
52,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,1,,,黒い風に道を逸らされた。,"(45,21)",,message,map.js,tileEffects.0,,
53,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,1,,,黒い風に道を逸らされた。,"(5,9)",,message,map.js,tileEffects.1,,
54,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,2,,朽ちた石碑を読む,石碑には、森の風を鎮めた名もなき守人の印が刻まれている。,"(30,10)",,log,map.js,mapActions.0,,
55,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,2,,東の森へ戻る,木々の切れ目から、来た道へ戻れそうだ。,"(38,33)",,log,map.js,floorLinks.0,,
56,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,2,,石碑に祈る,守護者を鎮めた石碑に、穏やかな風が巡っている。,"(20,18)",requiredFlag=windForestCleansed; eventId=wind_forest_guardians_after,log,map.js,mapActions.1,,
57,第3段階 風の集落・禁忌の森・風の神殿,マップログ,禁忌の森,FORBIDDEN_FOREST,2,,風の神殿へ入る,森の北端に、風の神殿へ続く古い石門が開いている。,"(20,2)",requiredFlag=windForestCleansed,log,map.js,floorLinks.1,,
58,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,2,,,祈りの広場に残る瘴気が肌を刺す。,"(25,6)",,message,map.js,tileEffects.0,,
59,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,2,,,祈りの広場に残る瘴気が肌を刺す。,"(26,6)",,message,map.js,tileEffects.1,,
60,第3段階 風の集落・禁忌の森・風の神殿,調査ログ,禁忌の森,FORBIDDEN_FOREST,2,,石碑を調べる,祈りの広場の中央に、黒い風をまとった石碑が立っている。,"(20,18)","monsterId=[301011, 301012]",inspectLog,map.js,bosses.0,,
61,第3段階 風の集落・禁忌の森・風の神殿,進行制限ログ,禁忌の森,FORBIDDEN_FOREST,2,,森の深部へ,毒と呪いが濃く、今は進めない。,"(27,6)",requiredFlag=waterCityCleared,lockedLog,map.js,floorLinks.2,,
62,第3段階 風の集落・禁忌の森・風の神殿,進行制限ログ,禁忌の森,FORBIDDEN_FOREST,2,,風の神殿へ入る,黒い風が石門を塞いでいる。祈りの広場の守護者を鎮めなければ進めなさそうだ。,"(20,2)",requiredFlag=windForestCleansed,lockedLog,map.js,floorLinks.1,,
63,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,3,forest_root_stalker,,呪根の追跡者が迫る！,"(24,19)",,message,map.js,tileEffects.1,,
64,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,3,,,濃い瘴気がまとわりつく。,,,message,map.js,tileEffects.0,,
65,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(28,18)",,message,map.js,tileEffects.1,,
66,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(23,15)",,message,map.js,tileEffects.2,,
67,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(28,8)",,message,map.js,tileEffects.3,,
68,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(16,8)",,message,map.js,tileEffects.4,,
69,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(3,8)",,message,map.js,tileEffects.5,,
70,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(14,14)",,message,map.js,tileEffects.6,,
71,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,,,不思議な力で移動した。,"(14,2)",,message,map.js,tileEffects.7,,
72,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,禁忌の森,FORBIDDEN_FOREST,4,forest_curse_guard,,呪風の番人が迫る！,"(15,21)",,message,map.js,tileEffects.0,,
73,第3段階 風の集落・禁忌の森・風の神殿,調査ログ,禁忌の森,FORBIDDEN_FOREST,4,,呪風の根を断つ,黒い風の中心で、森の根が鼓動のように膨らんでいる。,"(3,3)","questId=arisa_haine_forest_depths; monsterId=[303203, 303207]",inspectLog,map.js,bosses.0,,
74,第3段階 風の集落・禁忌の森・風の神殿,ストーリーLOG,風の集落カザリア,,,wind_village_intro,,エリーゼが同行した。禁忌の森へ向かおう。,,,LOG action,story.js:6851,actions.5,,
75,第3段階 風の集落・禁忌の森・風の神殿,ストーリーLOG,風の集落カザリア,,,main_arisa_haine_start,,禁忌の森深部へ向かい、アリサとハイネを救出しよう。,,,LOG action,story.js:7234,actions.4,,
76,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,エリーゼに話す,子どもたちが不安そうに身を寄せ合っている。,,,log,map.js,mapActors.4.states.0.action,,
77,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,村人から二人の消息を聞く,村人が禁忌の森の方を見つめている。,,eventId=main_arisa_haine_start,log,map.js,mapActors.3.states.0.action,,
78,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,武器を見る,軽く扱いやすい武器が並んでいる。,"(6,7)",,log,map.js,mapActions.2,,
79,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,泊まる,風よけの宿屋がある。,"(22,7)",,log,map.js,mapActions.0,,
80,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,禁忌の森へ入る,西の森から、淀んだ風が吹き込んでくる。,"(0,8)",requiredStoryStep=3,log,map.js,mapActions.4,,
81,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,禁忌の森へ入る,西の森から、淀んだ風が吹き込んでくる。,"(0,9)",requiredStoryStep=3,log,map.js,mapActions.5,,
82,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,禁忌の森へ入る,西の森から、淀んだ風が吹き込んでくる。,"(0,10)",requiredStoryStep=3,log,map.js,mapActions.6,,
83,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,見張りと話す,見張りが枝の揺れを追っている。,,,log,map.js,mapActors.0.states.0.action,,
84,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,道具を買う,森歩きに備えた道具屋だ。,"(19,7)",,log,map.js,mapActions.1,,
85,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,防具を見る,森の魔物に備えた防具屋だ。,"(9,7)",,log,map.js,mapActions.3,,
86,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,集落の子と話す,子どもが小さな風鈴を握っている。,,,log,map.js,mapActors.1.states.0.action,,
87,第3段階 風の集落・禁忌の森・風の神殿,マップログ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,風織り職人と話す,職人が、風を含んだ薄布を指で弾いている。,,,log,map.js,mapActors.2.states.0.action,,
88,第3段階 風の集落・禁忌の森・風の神殿,進行不足メッセージ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,禁忌の森へ入る,森の奥から、呼吸をひそめるような風が流れてくる。案内もなく進めば、すぐに道を失いそうだ。,"(0,8)",requiredStoryStep=3,requiredStoryMissingText,map.js,mapActions.4,,
89,第3段階 風の集落・禁忌の森・風の神殿,進行不足メッセージ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,禁忌の森へ入る,森の奥から、呼吸をひそめるような風が流れてくる。案内もなく進めば、すぐに道を失いそうだ。,"(0,9)",requiredStoryStep=3,requiredStoryMissingText,map.js,mapActions.5,,
90,第3段階 風の集落・禁忌の森・風の神殿,進行不足メッセージ,風の集落カザリア,WIND_VILLAGE,MAP000009-00,,禁忌の森へ入る,森の奥から、呼吸をひそめるような風が流れてくる。案内もなく進めば、すぐに道を失いそうだ。,"(0,10)",requiredStoryStep=3,requiredStoryMissingText,map.js,mapActions.6,,
91,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,風の神殿,WIND_TEMPLE,2,,,不思議な力で移動した。,"(3,7)",,message,map.js,tileEffects.0,,
92,第3段階 風の集落・禁忌の森・風の神殿,移動・操作メッセージ,風の神殿,WIND_TEMPLE,2,,,不思議な力で移動した。,"(21,7)",,message,map.js,tileEffects.1,,
93,第3段階 風の集落・禁忌の森・風の神殿,利用不可メッセージ,風の神殿,WIND_TEMPLE,3,,風のプリズムに呼びかける,風のプリズムは、まだこちらの声に応えない。,"(12,8)","requiredFlags=['abyssSpiritPilgrimageStarted', 'windVillageCleared']",lockedText,map.js,mapActions.0,,
94,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,水上都市リヴァリア,,,arel_kagetora_hayate_truth_phase8e,,ゼリードが隠した押収箱を、光の宮殿の旧文書庫で探そう。,,,LOG action,story.js:7489,actions.4,,
95,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,水上都市リヴァリア,,,arel_kagetora_water_archive_phase8e,,レクスノート邸に残る私的記録を調べよう。,,,LOG action,story.js:7462,actions.3,,
96,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,水上都市リヴァリア,,,water_city_crystal_tree_briefing,,光の宮殿でレイラに結晶樹の葉を使い、治療経過を確かめよう。,,,LOG action,story.js:6081,actions.0.else.0.else.1,,
97,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,水上都市リヴァリア,,,water_city_after_clear,,解放された水上都市で一息つき、街に残る手掛かりを探そう。,,,LOG action,story.js:7190,actions.3,,
98,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,水上都市リヴァリア,,,water_city_blue_crystal_report,,青の結晶が水の道を開いた。海底神殿へ向かおう。,,,LOG action,story.js:7943,actions.3,,
99,第4段階 水上都市・海底神殿・レクスノート邸,ストーリーLOG,水上都市リヴァリア,,,water_city_wind_messenger,,風の集落へ戻り、アリサとハイネの消息を確かめよう。,,,LOG action,story.js:7212,actions.3,,
100,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,アランと話す,アランが、神殿奥へ向かう水路を見つめている。,,questId=sophia_alan_seabed_depths,log,map.js,mapActors.14.states.0.action,,
101,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,シルビアと話す,優雅な身なりの貴人が、護衛を探している。,,questId=sylvia_water_city,log,map.js,mapActors.11.states.0.action,,
102,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,ソフィアと話す,ソフィアが、神殿奥の水流について記録を読み返している。,,questId=sophia_alan_seabed_depths,log,map.js,mapActors.12.states.5.action,,
103,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,ハヤテと話す,ハヤテはゼリードを、父の最も信頼した相棒として待っている。,,eventId=arel_kagetora_hayate_truth_phase8e,log,map.js,mapActors.9.states.0.action,,
104,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,マリーと話す,白いローブの女性が、避難民の無事を祈っている。,,questId=marie_water_city,log,map.js,mapActors.8.states.0.action,,
105,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,元兵士と話す,元兵士が古い盾の傷を磨いている。,,eventId=town_water_villager_3,log,map.js,mapActors.5.states.1.action,,
106,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,兵士と話す,黒鎧の兵士が橋を塞いでいる。,,eventId=water_city_blockade_guard,log,map.js,mapActors.0.states.0.action,,
107,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,広場を調べる,濁った水路の音が、街の沈黙に混じっている。,,,log,map.js,mapActors.7.states.0.action,,
108,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,武器を見る,海底神殿に備えた武器を扱っている。,"(7,10)",,log,map.js,mapActions.3,,
109,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,海底火山の場所を聞く,船大工は外海の潮目を指でなぞっている。,,eventId=undersea_volcano_route_hint_water,log,map.js,mapActors.4.states.0.action,,
110,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,渡し守と話す,渡し守が、濡れた綱の結び目を確かめている。,,,log,map.js,mapActors.6.states.1.action,,
111,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,老人と話す,老人がライザーク要塞の方角を眺めている。,,,log,map.js,mapActors.3.states.1.action,,
112,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,船大工と話す,船大工が水路の流れを測っている。,,,log,map.js,mapActors.4.states.2.action,,
113,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,道具を買う,水路沿いの道具屋だ。,"(4,10)",,log,map.js,mapActions.2,,
114,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,錬金所に入る,薬草と魔石の香りが漂う、水上都市の錬金所だ。,"(31,3)",,log,map.js,mapActions.1,,
115,第4段階 水上都市・海底神殿・レクスノート邸,マップログ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,防具を見る,水と闇に強い防具を扱っている。,"(10,10)",,log,map.js,mapActions.4,,
116,第4段階 水上都市・海底神殿・レクスノート邸,利用不可メッセージ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,アランと話す,今はまだ、海底神殿の奥へ進む手段がない。,,questId=sophia_alan_seabed_depths,lockedText,map.js,mapActors.14.states.0.action,,
117,第4段階 水上都市・海底神殿・レクスノート邸,利用不可メッセージ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,シルビアと話す,シルビアはまだ、声をかける相手を見定めている。,,questId=sylvia_water_city,lockedText,map.js,mapActors.11.states.0.action,,
118,第4段階 水上都市・海底神殿・レクスノート邸,利用不可メッセージ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,ソフィアと話す,今はまだ、海底神殿の奥へ進む手段がない。,,questId=sophia_alan_seabed_depths,lockedText,map.js,mapActors.12.states.5.action,,
119,第4段階 水上都市・海底神殿・レクスノート邸,利用不可メッセージ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,マリーと話す,マリーはまだ街の混乱を鎮めることで手一杯のようだ。,,questId=marie_water_city,lockedText,map.js,mapActors.8.states.0.action,,
120,第4段階 水上都市・海底神殿・レクスノート邸,利用不可メッセージ,水上都市リヴァリア,WATER_CITY,MAP000015-00,,水路番と話す,水路番は、まだ街の修復状況を見回している。,,questId=water_city_hunt_waterway,lockedText,map.js,mapActors.23.states.0.action,,
121,第4段階 水上都市・海底神殿・レクスノート邸,調査ログ,海底神殿,SEABED_TEMPLE,2,,戦う,強敵の気配がする。,"(20,5)","monsterId=[301021, 301022, 301021]",inspectLog,map.js,bosses.0,,
122,第4段階 水上都市・海底神殿・レクスノート邸,調査ログ,海底神殿,SEABED_TEMPLE,2,,戦う,強敵の気配がする。,"(20,16)","monsterId=[301021, 301022, 301021]",inspectLog,map.js,bosses.1,,
123,第4段階 水上都市・海底神殿・レクスノート邸,利用不可メッセージ,海底神殿,SEABED_TEMPLE,3,,水のプリズムに呼びかける,水のプリズムは、まだこちらの声に応えない。,"(11,7)","requiredFlags=['abyssSpiritPilgrimageStarted', 'waterCityCleared']",lockedText,map.js,mapActions.0,,
