時系列No,進行目安,区分,地域・クエスト,会話ID,name,text,charId,行,イベントID,条件・演出備考,参照状態,source,修正案,編集メモ
13,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_SOUTH_AFTER_BATTLE,ルーナ,……ありがとう。,403,1/2,prologue_south_arrival / prologue_south_ambush_retry,"event=prologue_south_arrival; actions=WORLD_STATE(value=2,key=prologueStage) -> CONV:PROLOGUE_SOUTH_AMBUSH -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE || event=prologue_south_ambush_retry; actions=CONV:PROLOGUE_LUCION_RECOVER -> HEAL -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE",現行参照,story.js:112,,
14,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_SOUTH_AFTER_BATTLE,ルーナ,家へ行こう。お父さんたちが心配……。,403,2/2,prologue_south_arrival / prologue_south_ambush_retry,"event=prologue_south_arrival; actions=WORLD_STATE(value=2,key=prologueStage) -> CONV:PROLOGUE_SOUTH_AMBUSH -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE || event=prologue_south_ambush_retry; actions=CONV:PROLOGUE_LUCION_RECOVER -> HEAL -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE",現行参照,story.js:112,,
15,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_HOME_LOST,システム,家へ続いていた道は、途中で途切れていた。,,1/6,prologue_home_loss,"event=prologue_home_loss; actions=CONV:PROLOGUE_HOME_LOST -> FLAG(key=prologueHomeLostSeen,state=True) -> WORLD_STATE(value=4,key=prologueStage); 名もなき山村・南側 FMAP000066-01 / 家のあった場所へ向かう",現行参照,story.js:116,,
16,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_HOME_LOST,システム,その先には、底の見えない裂け目しかない。,,2/6,prologue_home_loss,"event=prologue_home_loss; actions=CONV:PROLOGUE_HOME_LOST -> FLAG(key=prologueHomeLostSeen,state=True) -> WORLD_STATE(value=4,key=prologueStage); 名もなき山村・南側 FMAP000066-01 / 家のあった場所へ向かう",現行参照,story.js:116,,
17,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_HOME_LOST,ルーナ,……うそ。,403,3/6,prologue_home_loss,"event=prologue_home_loss; actions=CONV:PROLOGUE_HOME_LOST -> FLAG(key=prologueHomeLostSeen,state=True) -> WORLD_STATE(value=4,key=prologueStage); 名もなき山村・南側 FMAP000066-01 / 家のあった場所へ向かう",現行参照,story.js:116,,
18,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_HOME_LOST,ルーナ,アルスの家も……私の家も、ここにあったのに……。,403,4/6,prologue_home_loss,"event=prologue_home_loss; actions=CONV:PROLOGUE_HOME_LOST -> FLAG(key=prologueHomeLostSeen,state=True) -> WORLD_STATE(value=4,key=prologueStage); 名もなき山村・南側 FMAP000066-01 / 家のあった場所へ向かう",現行参照,story.js:116,,
19,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_HOME_LOST,システム,足元で石が崩れ、闇の中へ吸い込まれていく。,,5/6,prologue_home_loss,"event=prologue_home_loss; actions=CONV:PROLOGUE_HOME_LOST -> FLAG(key=prologueHomeLostSeen,state=True) -> WORLD_STATE(value=4,key=prologueStage); 名もなき山村・南側 FMAP000066-01 / 家のあった場所へ向かう",現行参照,story.js:116,,
20,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_HOME_LOST,ルーナ,ここも崩れる。外へ……早く！,403,6/6,prologue_home_loss,"event=prologue_home_loss; actions=CONV:PROLOGUE_HOME_LOST -> FLAG(key=prologueHomeLostSeen,state=True) -> WORLD_STATE(value=4,key=prologueStage); 名もなき山村・南側 FMAP000066-01 / 家のあった場所へ向かう",現行参照,story.js:116,,
21,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_SOUTH_EXIT_BOSS,システム,村を抜ける道へ駆け込んだ、その時。,,1/5,prologue_south_exit_boss,"event=prologue_south_exit_boss; actions=WORLD_STATE(value=5,key=prologueStage) -> CONV:PROLOGUE_SOUTH_EXIT_BOSS -> TEMP_LB_START -> HEAL -> BOSS(value=802001); 名もなき山村・南側 FMAP000066-01 / 村を出る",現行参照,story.js:124,,
22,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_SOUTH_EXIT_BOSS,システム,裂け目の底から、形の定まらない巨大な影が這い上がった。,,2/5,prologue_south_exit_boss,"event=prologue_south_exit_boss; actions=WORLD_STATE(value=5,key=prologueStage) -> CONV:PROLOGUE_SOUTH_EXIT_BOSS -> TEMP_LB_START -> HEAL -> BOSS(value=802001); 名もなき山村・南側 FMAP000066-01 / 村を出る",現行参照,story.js:124,,
23,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_SOUTH_EXIT_BOSS,ルーナ,……アルス。来る。,403,3/5,prologue_south_exit_boss,"event=prologue_south_exit_boss; actions=WORLD_STATE(value=5,key=prologueStage) -> CONV:PROLOGUE_SOUTH_EXIT_BOSS -> TEMP_LB_START -> HEAL -> BOSS(value=802001); 名もなき山村・南側 FMAP000066-01 / 村を出る",現行参照,story.js:124,,
24,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_SOUTH_EXIT_BOSS,？？？？,――まだ、ここでは終わらせません。,,4/5,prologue_south_exit_boss,"event=prologue_south_exit_boss; actions=WORLD_STATE(value=5,key=prologueStage) -> CONV:PROLOGUE_SOUTH_EXIT_BOSS -> TEMP_LB_START -> HEAL -> BOSS(value=802001); 名もなき山村・南側 FMAP000066-01 / 村を出る",現行参照,story.js:124,,
25,序章・5年前～現在への移行,メイン・イベント,名もなき山村・南側 FMAP000066-01,PROLOGUE_SOUTH_EXIT_BOSS,システム,白い光が胸の奥へ沈み、冷えていた手が熱を取り戻した。,,5/5,prologue_south_exit_boss,"event=prologue_south_exit_boss; actions=WORLD_STATE(value=5,key=prologueStage) -> CONV:PROLOGUE_SOUTH_EXIT_BOSS -> TEMP_LB_START -> HEAL -> BOSS(value=802001); 名もなき山村・南側 FMAP000066-01 / 村を出る",現行参照,story.js:124,,
26,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_COLLAPSE_AND_PENDANT,システム,大きな亀裂が走り、足場が一気に傾いた。,,1/5,prologue_first_boss_loss / prologue_illuminacia_loss,"event=prologue_first_boss_loss; actions=FLAG(key=prologueResult1,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5) || event=prologue_illuminacia_loss; actions=FLAG(key=prologueResult3,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5)",現行参照,story.js:131,,
27,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_COLLAPSE_AND_PENDANT,ルーナ,アルス、これ……持ってて。お願い。,403,2/5,prologue_first_boss_loss / prologue_illuminacia_loss,"event=prologue_first_boss_loss; actions=FLAG(key=prologueResult1,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5) || event=prologue_illuminacia_loss; actions=FLAG(key=prologueResult3,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5)",現行参照,story.js:131,,
28,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_COLLAPSE_AND_PENDANT,システム,ルーナが首元のペンダントを外し、アルスの手へ押し込んだ。,,3/5,prologue_first_boss_loss / prologue_illuminacia_loss,"event=prologue_first_boss_loss; actions=FLAG(key=prologueResult1,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5) || event=prologue_illuminacia_loss; actions=FLAG(key=prologueResult3,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5)",現行参照,story.js:131,,
29,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_COLLAPSE_AND_PENDANT,ルーナ,忘れないで。私たちが、ここにいたこと……。,403,4/5,prologue_first_boss_loss / prologue_illuminacia_loss,"event=prologue_first_boss_loss; actions=FLAG(key=prologueResult1,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5) || event=prologue_illuminacia_loss; actions=FLAG(key=prologueResult3,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5)",現行参照,story.js:131,,
30,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_COLLAPSE_AND_PENDANT,システム,掴んだ手が離れる。次の瞬間、視界が暗闇に呑まれた。,,5/5,prologue_first_boss_loss / prologue_illuminacia_loss,"event=prologue_first_boss_loss; actions=FLAG(key=prologueResult1,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5) || event=prologue_illuminacia_loss; actions=FLAG(key=prologueResult3,state=True) -> CONV:PROLOGUE_COLLAPSE_AND_PENDANT -> TEMP_LB_CLEAR -> ITEM(id=701009,count=1) -> RESET_TEMP_ALLY -> WORLD_STATE(value=100,key=prologueStage) -> HEAL -> START_FIXED_MAP(value=REES_MOUNTAIN_HUT,targetX=5,targetY=5)",現行参照,story.js:131,,
31,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_FIRST_BOSS_WIN,システム,巨大な影が揺らぎ、裂け目の縁へ崩れ落ちた。,,1/4,prologue_first_boss_win,"event=prologue_first_boss_win; actions=FLAG(key=prologueFirstBossDefeated,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> FLAG(key=prologueResult2,state=True) -> CONV:PROLOGUE_FIRST_BOSS_WIN -> BOSS(value=802002)",現行参照,story.js:138,,
32,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_FIRST_BOSS_WIN,ルーナ,……倒した、の？,403,2/4,prologue_first_boss_win,"event=prologue_first_boss_win; actions=FLAG(key=prologueFirstBossDefeated,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> FLAG(key=prologueResult2,state=True) -> CONV:PROLOGUE_FIRST_BOSS_WIN -> BOSS(value=802002)",現行参照,story.js:138,,
33,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_FIRST_BOSS_WIN,システム,返事の代わりに、地の底から冷たい気配が吹き上がる。,,3/4,prologue_first_boss_win,"event=prologue_first_boss_win; actions=FLAG(key=prologueFirstBossDefeated,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> FLAG(key=prologueResult2,state=True) -> CONV:PROLOGUE_FIRST_BOSS_WIN -> BOSS(value=802002)",現行参照,story.js:138,,
34,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_FIRST_BOSS_WIN,混沌姫イルミナシア,……面白い。そんな小さな身体で、まだ立つのね。,,4/4,prologue_first_boss_win,"event=prologue_first_boss_win; actions=FLAG(key=prologueFirstBossDefeated,state=True) -> FLAG(key=prologueFirstBossResolved,state=True) -> FLAG(key=prologueResult2,state=True) -> CONV:PROLOGUE_FIRST_BOSS_WIN -> BOSS(value=802002)",現行参照,story.js:138,,
35,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_PRESENT_WAKE,システム,――山中の小さな山小屋。,,1/3,prologue_present_wake,"event=prologue_present_wake; actions=CONV:PROLOGUE_PRESENT_WAKE -> FLAG(key=prologuePresentWakeSeen,state=True)",現行参照,story.js:144,,
36,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_PRESENT_WAKE,システム,地鳴りで目が覚めた。枕元では、焼け焦げたペンダントが小さく揺れている。,,2/3,prologue_present_wake,"event=prologue_present_wake; actions=CONV:PROLOGUE_PRESENT_WAKE -> FLAG(key=prologuePresentWakeSeen,state=True)",現行参照,story.js:144,,
37,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_PRESENT_WAKE,リース,起きたかい。顔を洗ったら、こっちへおいで。少し話そう。,,3/3,prologue_present_wake,"event=prologue_present_wake; actions=CONV:PROLOGUE_PRESENT_WAKE -> FLAG(key=prologuePresentWakeSeen,state=True)",現行参照,story.js:144,,
38,序章・5年前～現在への移行,メイン・イベント,,PRESENT_LUMINA_RESCUE,システム,山を下りて最初に見えた村から、鋭い悲鳴が上がった。,,1/2,present_lumina_rescue,"event=present_lumina_rescue; actions=CONV:PRESENT_LUMINA_RESCUE -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True)",現行参照,story.js:159,,
39,序章・5年前～現在への移行,メイン・イベント,,PRESENT_LUMINA_RESCUE,村人,誰か！　子どもたちが魔物に……！,1003,2/2,present_lumina_rescue,"event=present_lumina_rescue; actions=CONV:PRESENT_LUMINA_RESCUE -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True)",現行参照,story.js:159,,
40,序章・5年前～現在への移行,メイン・イベント,,PRESENT_LUMINA_RESCUE_AFTER,長老,旅のお方……助かりました。あの子たちを救ってくださり、本当にありがとうございます。,1001,1/3,present_lumina_rescue / present_lumina_rescue_retry,"event=present_lumina_rescue; actions=CONV:PRESENT_LUMINA_RESCUE -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True) || event=present_lumina_rescue_retry; actions=CONV:PRESENT_LUMINA_RESCUE_RETRY -> HEAL -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True)",現行参照,story.js:163,,
41,序章・5年前～現在への移行,メイン・イベント,,PRESENT_LUMINA_RESCUE_AFTER,長老,ここはリュミナ村です。村の北東に、少し前から妙な穴が開いておりましてな。,1001,2/3,present_lumina_rescue / present_lumina_rescue_retry,"event=present_lumina_rescue; actions=CONV:PRESENT_LUMINA_RESCUE -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True) || event=present_lumina_rescue_retry; actions=CONV:PRESENT_LUMINA_RESCUE_RETRY -> HEAL -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True)",現行参照,story.js:163,,
42,序章・5年前～現在への移行,メイン・イベント,,PRESENT_LUMINA_RESCUE_AFTER,長老,立ち話もなんです。よろしければ、奥の家へ。,1001,3/3,present_lumina_rescue / present_lumina_rescue_retry,"event=present_lumina_rescue; actions=CONV:PRESENT_LUMINA_RESCUE -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True) || event=present_lumina_rescue_retry; actions=CONV:PRESENT_LUMINA_RESCUE_RETRY -> HEAL -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True)",現行参照,story.js:163,,
43,序章・5年前～現在への移行,メイン・イベント,,PRESENT_LUMINA_RESCUE_RETRY,システム,倒れかけたアルスは息を整え、もう一度剣を握った。子どもたちはまだ逃げ切れていない。,,1/1,present_lumina_rescue_retry,"event=present_lumina_rescue_retry; actions=CONV:PRESENT_LUMINA_RESCUE_RETRY -> HEAL -> BOSS(value=[1, 1]); win=FLAG(key=presentLuminaRescueSeen,state=True) -> SUB(value=1) -> HEAL -> CONV:PRESENT_LUMINA_RESCUE_AFTER -> FLAG(key=luminaVillageNameKnown,state=True)",現行参照,story.js:168,,
44,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_HIDDEN_ILLUMINACIA_WIN,システム,あり得ないはずの一撃が、イルミナシアの混沌を打ち砕いた。,,1/3,prologue_hidden_route_pending,"event=prologue_hidden_route_pending; actions=FLAG(key=prologueIlluminaciaDefeated,state=True) -> FLAG(key=prologueResult4,state=True) -> WORLD_STATE(value=6,key=prologueStage) -> CONV:PROLOGUE_HIDDEN_ILLUMINACIA_WIN -> ALLY(value=501) -> ALLY(value=402) -> SET_CHARACTER_LB -> SET_CHARACTER_LB -> START_FIXED_MAP(value=PROLOGUE_FINAL_ALTAR,targetX=6,targetY=6)",現行参照,story.js:171,,
45,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_HIDDEN_ILLUMINACIA_WIN,？？？？,……ここまで抗うとは。ならば、その先まで見届けましょう。,,2/3,prologue_hidden_route_pending,"event=prologue_hidden_route_pending; actions=FLAG(key=prologueIlluminaciaDefeated,state=True) -> FLAG(key=prologueResult4,state=True) -> WORLD_STATE(value=6,key=prologueStage) -> CONV:PROLOGUE_HIDDEN_ILLUMINACIA_WIN -> ALLY(value=501) -> ALLY(value=402) -> SET_CHARACTER_LB -> SET_CHARACTER_LB -> START_FIXED_MAP(value=PROLOGUE_FINAL_ALTAR,targetX=6,targetY=6)",現行参照,story.js:171,,
46,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_HIDDEN_ILLUMINACIA_WIN,システム,相反する二つの気配が、時の裂け目の向こうから近づいてくる。,,3/3,prologue_hidden_route_pending,"event=prologue_hidden_route_pending; actions=FLAG(key=prologueIlluminaciaDefeated,state=True) -> FLAG(key=prologueResult4,state=True) -> WORLD_STATE(value=6,key=prologueStage) -> CONV:PROLOGUE_HIDDEN_ILLUMINACIA_WIN -> ALLY(value=501) -> ALLY(value=402) -> SET_CHARACTER_LB -> SET_CHARACTER_LB -> START_FIXED_MAP(value=PROLOGUE_FINAL_ALTAR,targetX=6,targetY=6)",現行参照,story.js:171,,
47,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_HIDDEN_ALTAR,システム,裂け目の向こうに、見覚えのない祭壇が浮かんでいる。空気だけが、ひどく古い。,,1/4,prologue_hidden_azelgarag_start,event=prologue_hidden_azelgarag_start; actions=CONV:PROLOGUE_HIDDEN_ALTAR -> BOSS(value=802003),現行参照,story.js:176,,
48,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_HIDDEN_ALTAR,リュシオン,……こんな場所まで来てしまったのですね。けれど、あなたがここまで歩いたことは消せません。,501,2/4,prologue_hidden_azelgarag_start,event=prologue_hidden_azelgarag_start; actions=CONV:PROLOGUE_HIDDEN_ALTAR -> BOSS(value=802003),現行参照,story.js:176,,
49,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_HIDDEN_ALTAR,ゼノン,深淵王を引きずり出す。勝てるかどうかではない。ここまで来たなら、最後まで付き合え。,402,3/4,prologue_hidden_azelgarag_start,event=prologue_hidden_azelgarag_start; actions=CONV:PROLOGUE_HIDDEN_ALTAR -> BOSS(value=802003),現行参照,story.js:176,,
